1|Dwerg zilverspar|Abies balsamea 'Nana'|12|15-20cm C2
2|Colorado Zilverspar|Abies concolor|24|80-100cm kluit
3|Colorado Zilverspar|Abies concolor|32|100-125cm kluit
4|Koreaanse zilverspar|Abies koreana|18|60-80cm kluit
5|Koreaanse zilverspar|Abies koreana|26|80-100cm kluit
6|Koreaanse zilverspar|Abies koreana|32|100-125cm kluit
7|Koreaanse zilverspar|Abies koreana|38|125-150cm kluit
8|Bergzilverspar (dwerg)|Abies lasiocarpa 'Compacta'|28|30-40cm kluit
9|Nordmannspar|Abies nordmanniana|18|60-80cm kluit
10|Nordmannspar|Abies nordmanniana|26|80-100cm kluit
11|Nordmannspar|Abies nordmanniana|32|100-125cm kluit
12|Nordmannspar|Abies nordmanniana|38|125-150cm kluit
13|Slangenden|Araucaria araucana|38|35-40cm C5
14|Himalayaceder|Cedrus deodara|22|80-100cm kluit
15|Himalayaceder|Cedrus deod. 'Golden Horizon'|18|40-50cm kluit
16|Himalayaceder|Cedrus deod. 'Karl Fuchs'|28|80-100cm kluit
17|Blauwe ceder / Atlasceder|Cedrus libani 'Glauca'|44|125-150cm kluit
18|Blauwe ceder / Atlasceder|Cedrus libani 'Glauca'|64|150-175cm kluit
19|Knoptaxus|Cephalotaxus h. 'Fastigiata'|22|60-80cm kluit
20|Californische cipres|Chamaecyparis l. 'Columnaris'|8|80-100cm kluit
21|Californische cipres|Chamaecyparis l. 'Columnaris'|11|100-125cm kluit
22|Californische cipres|Chamaecyparis l. 'Columnaris'|15|125-150cm kluit
23|Californische cipres|Chamaecyparis l. 'Columnaris'|19|150-175cm kluit
24|Californische cipres|Chamaecyparis l. 'Columnaris'|24|175-200cm kluit
25|Californische cipres|Chamaecyparis l. 'Ivonne'|6|60-80cm kluit
26|Californische cipres|Chamaecyparis l. 'Ivonne'|8|80-100cm kluit
27|Californische cipres|Chamaecyparis l. 'Ivonne'|11|100-125cm kluit
28|Californische cipres|Chamaecyparis l. 'Ivonne'|15|125-150cm kluit
29|Californische cipres|Chamaecyparis l. 'Ivonne'|19|150-175cm kluit
30|Californische cipres|Chamaecyparis l. 'Ivonne'|24|175-200cm kluit
31|Californische cipres|Chamaecyparis l. 'Ivonne'|26|100cm stam
32|Californische Cypres|Chamaecyparis l. 'Sunkist'|9,5|25-30cm C3
33||Chamaecyparis nootk. 'Pendula'|42|80-100cm kluit
34|Dwergcypres|Chamaecyparis obt. 'Nana Gracilis'|14|20-25cm C3
35||Chamaecyparis p. 'Baby Blue'|9,5|25-30cm C2
36||Chamaecyparis p. 'Boulevard'|11|20-30cm C3
37||Chamaecyparis pis. 'Filifera Aurea'|9,5|25-30cm C3
